libpciaccess 0.18.1-2
libpgm 5.3.128-3
libpipeline 1.5.8-1
libpipewire 1:1.4.1-1
libplacebo 7.349.0-4
libplist 2.6.0-2
libpng 1.6.47-1
libproxy 0.5.9-1
libpsl 0.21.5-2
libpulse 17.0+r43+g3e2bb8a1e-1
libpwquality 1.4.5-6
libqalculate 5.5.2-1
libqmi 1.34.0-2
libqrtr-glib 1.2.2-3
libraqm 0.10.2-1
libraw1394 2.1.2-4
librsvg 2:2.59.2-1
librsync 1:2.3.4-2
libsamplerate 0.2.2-3
libsasl 2.1.28-5
libseccomp 2.5.6-1
libsecret 0.21.6-1
libsigc++ 2.12.1-1
libsigc++-3.0 3.6.0-1
libsixel 1.10.5-1
libsm 1.2.6-1
libsndfile 1.2.2-3
libsodium 1.0.20-1
libsoup3 3.6.4-1
libsoxr 0.1.3-4
libspng 0.7.4-2
libsrtp 1:2.6.0-1
libssh 0.11.1-1
libssh2 1.11.1-1
libstemmer 2.2.0-2
libsysprof-capture 47.2-3
libtar 1.2.20-7
libtasn1 4.20.0-1
libteam 1.32-2
libthai 0.1.29-3
libtheora 1.1.1-6
libtiff 4.7.0-1
libtirpc 1.3.6-1
libtool 2.5.4+r1+gbaa1fe41-3
libtorrent-rasterbar 1:2.0.11-3
libunibreak 6.1-1
libunistring 1.3-1
libunwind 1.8.1-3
libupnp 1.14.20-2
liburcu 0.15.1-1
liburing 2.9-1
libusb 1.0.27-1
libusbmuxd 2.1.0-1
libutempter 1.2.3-1
libuv 1.50.0-1
libva 2.22.0-1
libvdpau 1.5-3
libverto 0.3.2-5
libvlc 3.0.21-15
libvorbis 1.3.7-4
libvpl 2.14.0-1
libvpx 1.15.0-1
libwacom 2.14.0-1
libwebp 1.5.0-1
libwireplumber 0.5.8-1
libwnck3 43.2-1
libx11 1.8.12-1
libx86emu 3.7-1
libxau 1.0.12-1
libxaw 1.0.16-1
libxcb 1.17.0-1
libxcomposite 0.4.6-2
libxcrypt 4.4.38-1
libxcrypt-compat 4.4.38-1
libxcursor 1.2.3-1
libxcvt 0.1.3-1
libxdamage 1.1.6-2
libxdmcp 1.1.5-1
libxext 1.3.6-1
libxfce4ui 4.20.0-3
libxfce4util 4.20.0-2
libxfixes 6.0.1-2
libxfont2 2.0.7-1
libxft 2.3.8-2
libxi 1.8.2-1
libxinerama 1.1.5-2
libxkbcommon 1.8.1-1
libxkbcommon-x11 1.8.1-1
libxkbfile 1.1.3-1
libxml2 2.13.6-3
libxmlb 0.3.22-1
libxmu 1.2.1-1
libxpm 3.5.17-2
libxpresent 1.0.1-2
libxrandr 1.5.4-1
libxrender 0.9.12-1
libxres 1.2.2-2
libxshmfence 1.3.3-1
libxslt 1.1.43-1
libxss 1.2.4-2
libxt 1.3.1-1
libxtst 1.2.5-1
libxv 1.0.13-1
libxxf86vm 1.1.6-1
libyaml 0.2.5-3
libyuv r2426+464c51a03-1
libzip 1.11.2-1
licenses 20240728-1
lilv 0.24.26-1
linux 6.13.7.arch1-1
linux-api-headers 6.13-1
linux-firmware 20250311.b69d4b74-2
linux-firmware-whence 20250311.b69d4b74-2
linux-headers 6.13.7.arch1-1
llhttp 9.2.1-2
llvm-libs 19.1.7-1
lm_sensors 1:3.6.0.r41.g31d1f125-3
lmdb 0.9.33-1
logrotate 3.22.0-1
loupe 47.4-1
lsb-release 2.0.r55.a25a4fc-1
lsd 1.1.5-1
lshw B.02.20-1
lsof 4.99.4-1
lsscsi 0.32-2
lua 5.4.7-1
luajit 2.1.1736781742-1
luit 20240910-1
lv2 1.18.10-1
lvm2 2.03.31-1
lz4 1:1.10.0-2
lzo 2.10-5
m4 1.4.19-3
mailcap 2.1.54-2
make 4.4.1-2
man-db 2.13.0-1
man-pages 6.13-1
md4c 0.5.2-1
mdadm 4.4-1
meld 3.22.3-1
mercurial 6.9.3-1
mesa 1:25.0.1-2
mesa-utils 9.0.0-5
meson 1.7.0-1
minikube 1.35.0-1
minizip 1:1.3.1-2
mjpegtools 2.2.1-2
mobile-broadband-provider-info 20240407-1
modemmanager 1.22.0-1
mousepad 0.6.3-2
mpdecimal 4.0.0-2
mpfr 4.2.1-6
mpg123 1.32.10-1
mpv 1:0.39.0-5
mpv-mpris 1.1-3
mtdev 1.1.7-1
mtools 1:4.0.48-1
mujs 1.3.6-1
nano 8.3-1
nano-syntax-highlighting 2022.11.02.r102.gbb94603-1
ncurses 6.5-3
neon 0.34.0-1
net-tools 2.10-3
netctl 1.29-2
nettle 3.10.1-1
network-manager-applet 1.36.0-1
networkmanager 1.52.0-1
networkmanager-openconnect 1.2.10-2
networkmanager-openvpn 1.12.0-1
nfs-utils 2.8.2-2
nfsidmap 2.8.2-2
nftables 1:1.1.1-2
nilfs-utils 2.2.11-1
ninja 1.12.1-2
nm-connection-editor 1.36.0-1
node-gyp 11.1.0-3
nodejs 23.9.0-1
nodejs-nopt 7.2.1-1
noto-fonts 1:2025.03.01-1
noto-fonts-cjk 20240730-1
noto-fonts-emoji 1:2.047-1
noto-fonts-extra 1:2025.03.01-1
npm 11.2.0-1
npth 1.8-1
nspr 4.36-1
nss 3.109-1
nss-mdns 0.15.1-2
ntfs-3g 2022.10.3-1
ntp 4.2.8.p18-2
nvm 0.40.2-1
nvtop 3.1.0-1
nwg-displays 0.3.24-1
nwg-look 1.0.3-1
oath-toolkit 2.6.12-1
ocl-icd 2.3.2-2
oniguruma 6.9.10-1
openal 1.24.2-1
openconnect 1:9.12-3
opencore-amr 0.1.6-2
openexr 3.3.2-1
openh264 2.6.0-1
openjpeg2 2.5.3-1
openssh 9.9p2-1
openssl 3.4.1-1
openvpn 2.6.13-1
opus 1.5.2-1
orc 0.4.41-1
os-prober 1.83-1
ostree 2025.1-1
otf-font-awesome 6.7.2-1
p11-kit 0.25.5-1
pacman 7.0.0.r6.gc685ae6-2
pacman-contrib 1.11.0-1
pacman-mirrorlist 20250311-1
pacutils 0.15.0-1
pahole 1:1.29-1
pam 1.7.0-2
pambase 20230918-2
pamixer 1.6-3
pango 1:1.56.3-1
pangomm 2.46.4-1
pangomm-2.48 2.56.1-1
parallel 20250222-1
parted 3.6-2
patch 2.7.6-10
pavucontrol 1:6.1-1
pciutils 3.13.0-2
pcre 8.45-4
pcre2 10.45-1
pcsclite 2.3.1-1
perl 5.40.1-2
perl-clone 0.47-1
perl-encode-locale 1.05-13
perl-error 0.17030-1
perl-file-listing 6.16-4
perl-html-parser 3.83-1
perl-html-tagset 3.24-2
perl-http-cookiejar 0.014-3
perl-http-cookies 6.11-2
perl-http-daemon 6.16-4
perl-http-date 6.06-3
perl-http-message 7.00-1
perl-http-negotiate 6.01-14
perl-io-html 1.004-6
perl-libwww 6.78-1
perl-lwp-mediatypes 6.04-6
perl-mailtools 2.22-1
perl-net-http 6.23-4
perl-timedate 2.33-7
perl-try-tiny 0.32-2
perl-uri 5.31-1
perl-www-robotrules 6.02-14
perl-xml-parser 2.47-2
perl-xml-writer 0.900-4
pinentry 1.3.1-5
pipewire 1:1.4.1-1
pipewire-alsa 1:1.4.1-1
pipewire-audio 1:1.4.1-1
pipewire-jack 1:1.4.1-1
pipewire-pulse 1:1.4.1-1
pixman 0.44.2-1
pkcs11-helper 1.30.0-1
pkgconf 2.3.0-1
pkgfile 24-1
playerctl 2.4.1-4
plocate 1.1.23-1
pnpm 10.6.3-1
polkit 126-2
polkit-qt6 0.200.0-1
poppler 25.03.0-1
poppler-glib 25.03.0-1
popt 1.19-2
portaudio 1:19.7.0-3
power-profiles-daemon 0.30-1
ppp 2.5.2-1
procps-ng 4.0.5-2
protobuf 30.0-3
psmisc 23.7-1
pugixml 1.15-1
pv 1.9.31-1
pyprland 2.4.3-0
python 3.13.2-1
python-aiofiles 24.1.0-2
python-annotated-types 0.7.0-2
python-attrs 23.2.0-4
python-autocommand 2.2.2-7
python-build 1.2.2-3
python-cachecontrol 1:0.14.2-1
python-cachy 0.3.0-11
python-cairo 1.27.0-2
python-certifi 2025.01.31-1
python-cffi 1.17.1-2
python-charset-normalizer 3.4.1-1
python-cleo 1:2.1.0-1
python-colorama 0.4.6-5
python-crashtest 0.4.1-4
python-cryptography 44.0.2-1
python-cssselect 1.2.0-8
python-defusedxml 0.7.1-7
python-distlib 0.3.9-2
python-dulwich 0.22.8-1
python-fastjsonschema 2.21.1-1
python-filelock 3.18.0-1
python-findpython 0.6.3-1
python-gobject 3.50.0-2
python-html5lib 1.1-15
python-i3ipc 2.2.1-8
python-idna 3.10-2
python-installer 0.7.0-10
python-jaraco.classes 3.4.0-2
python-jaraco.collections 5.1.0-1
python-jaraco.context 6.0.1-1
python-jaraco.functools 4.1.0-1
python-jaraco.text 4.0.0-2
python-jeepney 0.9.0-1
python-jsonschema 4.23.0-2
python-jsonschema-specifications 2024.10.1-1
python-keyring 25.5.0-3
python-lark-parser 1.2.2-3
python-lockfile 0.12.2-14
python-lxml 5.3.1-1
python-mako 1.3.9-1
python-markdown 3.7-2
python-markupsafe 2.1.5-3
python-more-itertools 10.6.0-1
python-msgpack 1.0.5-3
python-orjson 3.10.15-1
python-packaging 24.2-3
python-pbs-installer 2025.03.11-1
python-pexpect 4.9.0-4
python-pkginfo 1.12.0-1
python-platformdirs 4.3.6-2
python-poetry 2.1.1-1
python-poetry-core 2.1.1-1
python-poetry-plugin-export 1.9.0-1
python-psutil 7.0.0-1
python-ptyprocess 0.7.0-8
python-pycparser 2.22-3
python-pydantic 2.10.6-1
python-pydantic-core 2:2.27.2-1
python-pyproject-hooks 1.2.0-3
python-pyquery 2.0.0-6
python-rapidfuzz 3.12.2-1
python-referencing 0.35.1-3
python-requests 2.32.3-4
python-requests-toolbelt 1.0.0-3
python-rpds-py 0.22.3-1
python-secretstorage 3.3.3-6
python-setuptools 1:75.8.0-1
python-shellingham 1.5.4-3
python-shtab 1.7.1-3
python-six 1.17.0-1
python-termcolor 2.5.0-1
python-tomlkit 0.13.2-2
python-tqdm 4.67.1-2
python-trove-classifiers 2025.3.3.18-1
python-typing_extensions 4.12.2-3
python-urllib3 2.3.0-1
python-virtualenv 20.28.0-1
python-webencodings 0.5.1-12
python-wheel 0.45.0-3
python-xlib 0.33-4
qalculate-gtk 5.5.1-1
qbittorrent-enhanced 5.0.4.10-1
qrencode 4.1.1-3
qt5-base 5.15.16+kde+r130-4
qt5-declarative 5.15.16+kde+r22-3
qt5-location 5.15.16+kde+r7-4
qt5-quickcontrols 5.15.16-3
qt5-svg 5.15.16+kde+r5-3
qt5-translations 5.15.16-3
qt5-wayland 5.15.16+kde+r59-3
qt5-webchannel 5.15.16+kde+r3-3
qt5-webengine 5.15.18-6
qt5-x11extras 5.15.16-3
qt5ct 1.9-1
qt6-5compat 6.8.2-2
qt6-base 6.8.2-3
qt6-declarative 6.8.2-1
qt6-shadertools 6.8.2-1
qt6-svg 6.8.2-1
qt6-tools 6.8.2-2
qt6-translations 6.8.2-1
qt6-wayland 6.8.2-1
qt6ct 0.10-1
raptor 2.0.16-6
rav1e 0.7.1-1
re2 1:20240702-3
readline 8.2.013-1
rebuild-detector 4.4.5-1
reflector 2023-3
rhash 1.4.4-1
ripgrep 14.1.1-1
rofi-wayland 1.7.8.1-2
rpcbind 1.2.7-2
rsync 3.4.1-2
rtkit 0.13-3
rtmpdump 1:2.4.r105.6f6bb13-1
rubberband 4.0.0-1
runc 1.2.5-1
rust 1:1.85.0-1
s-nail 14.9.24-2
sbc 2.0-2
scdoc 1.11.3-1
scrcpy 3.1-1
sd 1.0.0-1
sdbus-cpp 2.1.0-2
sddm 0.21.0-6
sdl2-compat 2.32.52-1
sdl3 3.2.8-1
seatd 0.9.1-1
sed 4.9-3
semver 7.7.1-1
serd 0.32.4-1
sg3_utils 1.48-1
shaderc 2025.1-1
shadow 4.17.3-1
